museum,museumLabel,inceptionYear,countryLabel,visitors,area,socialFollowers
http://www.wikidata.org/entity/Q2946,Версаль,1661,Франция,4226879,67000,100000
http://www.wikidata.org/entity/Q2946,Версаль,1661,Франция,4226879,67000,497943
http://www.wikidata.org/entity/Q6373,Британский музей,1753,Великобритания,5821000,,736000
http://www.wikidata.org/entity/Q6373,Британский музей,1753,Великобритания,5821000,,2072837
http://www.wikidata.org/entity/Q2946,Версаль,1661,Франция,8132518,67000,100000
http://www.wikidata.org/entity/Q2946,Версаль,1661,Франция,8132518,67000,497943
http://www.wikidata.org/entity/Q59435,Музей Леопольда,2001,Австрия,,,4843
http://www.wikidata.org/entity/Q2946,Версаль,1661,Франция,7702135,67000,100000
http://www.wikidata.org/entity/Q2946,Версаль,1661,Франция,7702135,67000,497943
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,135000,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,44030,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,66470,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,131520,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,147030,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,35012,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,42741,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,64632,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,72312,,22972
http://www.wikidata.org/entity/Q51099,Музей театра Ла Скала,1913,Италия,36107,600,309856
http://www.wikidata.org/entity/Q51099,Музей театра Ла Скала,1913,Италия,36107,850,309856
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,85065,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,100722,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,111896,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,114596,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,116534,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,123032,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,126835,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,146087,,22972
http://www.wikidata.org/entity/Q8330,Музей современного искусства (Лион),1984,Франция,147759,,22972
http://www.wikidata.org/entity/Q82748,Musée Bossuet,1927,Франция,5135,,
http://www.wikidata.org/entity/Q82748,Musée Bossuet,1927,Франция,7376,,
http://www.wikidata.org/entity/Q82748,Musée Bossuet,1927,Франция,7692,,
