museum,museumLabel,year,visitors
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2001,10334
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2002,10492
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2003,9358
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2004,16356
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2005,11540
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2006,10126
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2007,12090
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2008,11308
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2009,11417
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2010,11247
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2011,14659
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2012,16029
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2013,16275
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2014,18435
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2015,21022
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2016,22789
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2017,23115
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2018,25263
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2019,27333
http://www.wikidata.org/entity/Q3329085,Musée Bartholdi,2021,17701
http://www.wikidata.org/entity/Q864957,Tokyo Metropolitan Art Museum,2015,2772829
http://www.wikidata.org/entity/Q864957,Tokyo Metropolitan Art Museum,2018,2787770
http://www.wikidata.org/entity/Q864957,Tokyo Metropolitan Art Museum,2019,2873806
http://www.wikidata.org/entity/Q864957,Tokyo Metropolitan Art Museum,2021,1049183
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2001,39815
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2002,48375
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2003,46693
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2004,45137
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2005,46666
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2006,46943
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2007,53575
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2008,63948
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2009,70805
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2010,53097
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2011,51240
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2012,61739
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2013,54270
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2014,62317
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2015,63904
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2016,68754
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2017,63751
http://www.wikidata.org/entity/Q2404549,musée des beaux-arts de Tours,2025,68537
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2001,30955
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2002,20237
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2003,18038
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2004,24283
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2005,27373
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2006,14816
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2007,15389
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2008,19024
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2009,19604
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2010,20901
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2011,12526
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2012,11520
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2013,13125
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2014,13926
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2015,17782
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2016,13784
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2017,15253
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2018,18135
http://www.wikidata.org/entity/Q3330515,musée départemental d'art ancien et contemporain,2019,21624
http://www.wikidata.org/entity/Q338367,Академия Каррары,2018,120000
http://www.wikidata.org/entity/Q338367,Академия Каррары,2020,19157
http://www.wikidata.org/entity/Q338367,Академия Каррары,2021,32623
